main_match_ratio,other_match_ratio,staple_match_ratio,missing_main_count,missing_other_count,missing_staple_count,calories,protein,fat,protein_ratio,fat_ratio,region_match,is_vegetarian_safe,low_calorie_penalty,preferred_main_overlap,disliked_main_overlap,within_cooking_time,label
1.0,0.0,0.0,0,8,0,200.7,0,0,0.0,0.0,0,1,1,0,0,0,1
1.0,0.0,0.0,0,6,0,379.7,0,0,0.0,0.0,0,1,1,0,0,0,1
1.0,0.0,0.0,0,2,0,72.5,0,0,0.0,0.0,0,1,1,0,0,0,1
1.0,0.0,0.0,0,3,0,561.5,0,0,0.0,0.0,0,1,1,0,0,0,0
1.0,0.0,0.0,0,5,1,754.4,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.2,1.0,1,4,0,235.8,0,0,0.0,0.0,0,1,1,0,1,0,1
0.0,0.125,1.0,1,7,0,515.8,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.0,1.0,2,6,0,482.6,0,0,0.0,0.0,0,1,1,0,0,0,1
0.0,0.0,1.0,0,4,0,700.7,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.0,1.0,0,1,0,86.3,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.2,1.0,1,4,0,235.8,0,0,0.0,0.0,0,1,1,0,1,0,1
0.0,0.125,1.0,1,7,0,515.8,0,0,0.0,0.0,0,1,1,0,0,0,1
0.0,0.0,1.0,0,1,0,86.3,0,0,0.0,0.0,0,1,1,0,0,0,1
0.0,0.0,1.0,0,4,0,180.3,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.0,1.0,2,6,0,482.6,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.0,1.0,0,1,0,86.3,0,0,0.0,0.0,0,1,1,0,0,0,1
0.0,0.0,1.0,2,6,0,482.6,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.0,1.0,1,5,0,235.8,0,0,0.0,0.0,0,1,1,0,1,0,0
0.0,0.0,1.0,0,4,0,180.3,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.0,1.0,1,8,0,515.8,0,0,0.0,0.0,0,1,1,0,0,0,0
0.0,0.25,1.0,0,3,0,267.0,0,0,0.0,0.0,0,1,1,0,0,0,1
